timestamp,username,likes,caption,comments,url
2026-06-08T13:23:26.000Z,saiko.relax,349,"頑張り屋さんほど！やってない！？

•*¨*•.¸¸☆*･ﾟ

⁡
サロン歴18年、これまでに約1万人以上の施術経験あり！
＼  たなか さいこ ／です🙋‍♀️

🔻フォローミー​ ​​🔻
 @​𝘀𝗮𝗶𝗸𝗼.𝗿𝗲𝗹𝗮𝘅
⁡
⁡
いいね･保存もお願いします！
⁡
⁡
✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽
⁡
人生𝟭回‼️
全ては自分次第！
思いっきり楽しもう
✨*｡٩(ˊᗜˋ*)و✨*｡
⁡
✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽
⁡
⁡
​🔻フォローミー​ ​​🔻
 @​𝘀𝗮𝗶𝗸𝗼.𝗿𝗲𝗹𝗮𝘅
 
#リラクゼーションマッサージ
#ボディケアスクール
#セラピスト養成講座
#セラピスト起業
#リラクゼーションサロン
集客力アップ
集客サポート",1,https://www.instagram.com/p/DZU5AFvATsP/
2025-12-01T13:18:56.000Z,lionlifts,-1,"私の過去について、初めてお話しします。

「フィットネスの人だから、ずっと健康的だったんでしょ？」 そう思われることが多いですが、現実は真逆でした。
17歳の時にスウェーデンでモデルを始め、その後、活動の場を日本に移しました。
誰かに直接「痩せろ」と強要されたわけではありません。 ただ、周りの日本人モデルの子たちと自分の体型の「違い」に気づいてしまったんです。 「彼女たちのように細くならないと、日本では仕事がもらえない」 そう思い込み、自分で自分を追い詰めていきました。
皮肉なことに、病的に痩せていくのと比例して、大きなブランドのショーや撮影の仕事が決まるようになりました。 「これが正解なんだ」と錯覚しましたが、体は限界を超えていました。
ある日、身体機能がシャットダウンし、緊急停止。 キャリアの絶頂に見えたその時は、実は命の危険と隣り合わせでした。
そこから回復するために「食べること」を再開しましたが、待っていたのは「バランスの取れた生活」ではありませんでした。 その反動で、今度は止まらない過食（むちゃ食い）との戦いが始まりました。
毎日ジムに通い、重いウェイトを持ち上げて、外見は「健康的で強い女性」に見えていたと思います。 でも心の中は、孤独で、鬱で、自分の体型に対する嫌悪感でいっぱいでした。
そこから10年以上。 長い遠回りをしましたが、私はようやく「数字」や「見た目」の呪縛から解放されました。 ボディ・ディスモルフィア（身体醜形障害）とは今でも向き合っていますが、もうそれに支配されることはありません。
私がコーチとして活動している本当の理由。 それは、周りの女子が私と同じように10年も苦しむ必要がないからです。 体は、痛めつけるものではなく、大切にするものだから。

私がコーチとして活動している本当の理由。 それは、周りに人が私と同じように10年も苦しむ必要がないからです。 体は、痛めつけるものではなく、大切にするものだから。

この投稿を見て、もし少しでも「私だけじゃなかったんだ」と感じてもらえたら… コメント欄に「❤️」を送ってください。
言葉にする必要はありません。 スタンプ一つで、あなたの気持ちは十分伝わります。
今日はただ、孤独に戦っている誰かに 「あなたは一人じゃないよ」と伝えたくて、この動画を作りました。
届きますように。🕊️",199,https://www.instagram.com/p/DRuORytE8Dn/
2026-06-09T11:25:51.000Z,saiko.relax,64,北海道懇親会❣️,1,https://www.instagram.com/p/DZXQbHsAIgV/
2026-06-09T09:26:50.000Z,saiko.relax,338,"猫背の人！背中ばっかり揉んでへん？

•*¨*•.¸¸☆*･ﾟ

⁡
サロン歴18年、これまでに約1万人以上の施術経験あり！
＼  たなか さいこ ／です🙋‍♀️

🔻フォローミー​ ​​🔻
 @​𝘀𝗮𝗶𝗸𝗼.𝗿𝗲𝗹𝗮𝘅
⁡
公式LINEで色んな情報出してますよ〜
コチラから
⁡👇👇👇
https://lin.ee/G8E375K
⁡
⁡
いいね･保存もお願いします！
⁡
⁡
✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽
⁡
人生𝟭回‼️
全ては自分次第！
思いっきり楽しもう
✨*｡٩(ˊᗜˋ*)و✨*｡
⁡
✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽
⁡
⁡
​🔻フォローミー​ ​​🔻
 @​𝘀𝗮𝗶𝗸𝗼.𝗿𝗲𝗹𝗮𝘅
 
#リラクゼーションマッサージ
#ボディケアスクール
#セラピスト養成講座
#セラピスト起業
#リラクゼーションサロン
集客力アップ
集客サポート",2,https://www.instagram.com/p/DZXCiqNgUzu/
2026-06-08T08:11:56.000Z,lionlifts,-1,"すべての女性に🤍

最近、私の周りでボトックスやヒアルロン酸の話題がよく出るようになりました💭

それを聞いて、「私もやった方がいいのかな？」と少し考えてしまった自分がいます。特に最近、ほうれい線に気づいて、「これは隠した方がいいのかな…」と悩んだりもしました。

でも、ふと考え方が変わったんです✨

このシワは、私が最近たくさん笑って、幸せな時間を過ごしてきた証拠。そう気づいたら、このシワがとても愛おしく、美しいものに思えてきました☺️

💖

あなたは、今のままで十分に完璧です。

周りの人がどうであれ、自然に歳を重ねる体の変化が世間でどう言われようと、あなたが自分を「十分じゃない」なんて思う必要は一切ありません。

誤解しないでほしいのは、ボトックスや美容整形を否定しているわけでは全くないということ！もしそれが、心から自分を幸せにし、自信を持たせてくれるものなら、とても素敵な選択だと思います🤍

ただ、「周りがやっているから」「誰かに言われたから」というプレッシャーで、特定の見た目にならなきゃと思い込まないでほしいんです。

あなたの笑顔も、笑った時にできるそのシワも、全部があなたの美しい魅力の一部だから✨",24,https://www.instagram.com/p/DZUVUvEzPEi/
2026-03-26T09:14:04.000Z,lionlifts,-1,"すべての強く、最高な女性たちへ。

現実が自分のビジョンにひれ伏すくらい、妄想家でいるの。

自分の人生は何だって可能だと信じ切れるくらい、サイコパスに。

周りに「完全に狂ってる」と思われるくらい、執着して。

「諦める」なんて選択肢が浮かばないくらい、貪欲でいて。

最悪のシナリオでも平均以上になるくらい、全てを懸けるの。

どんなノイズも物理的に届かないくらい、集中して。

「平凡」であることが最大の悪夢になるくらい、野心的でいること。",11,https://www.instagram.com/p/DWV5wOhDGCX/
2024-01-06T13:38:25.000Z,es.esthetiquesalon,63934,"最新エステ韓国式🇰🇷3D毛穴洗浄！

特殊な技術を使い毛穴の汚れを浮かせ
優しく吸引し、毛穴汚れを丸ごとスッキリできます！

ハイドラフェイシャルなどでは取りきれないような
頑固な角栓までごっそり取り除くことができます！
　
普通の黒ずみ毛穴は一度でもキレイになります！

クレンジング
▽
クレンジングスチーム
▽
浮き出る毛穴汚れ吸引
▽
毛穴引き締め美容液

クレンジングスチームで驚くほど浮き出る毛穴汚れ

根こそぎ吸引し、肌代謝アップで毛穴レス肌に

◎韓国式3D毛穴洗浄(全顔90分)
17800円
▽
初回
半額の8900円

極上のたまご肌を体験してみて下さい🥚

#横浜 
#大倉山
#ハーブピーリング
#ピーリング
#毛穴洗浄
#毛穴 
#毛穴の開き
#韓国式3D毛穴洗浄
#黒ずみ
#黒ずみ改善
#黒ずみケア 
#いちご鼻
#いちご鼻改善
#角質毛穴
#角栓
#オイリー肌
#ニキビ
#フェイシャル 
#ハイドラフェイシャル
#エクストラクション
#毛穴のシミ 
#韓国美容課金 
#美容課金 
#韓国美容 
#blackhead 
#blackheads",221,https://www.instagram.com/p/C1wr5i-pPKK/
2026-01-01T16:31:27.000Z,ameliorer_mitaka_kokubunji,19,"🎍新年明けましておめでとうございます🎍

昨年はたくさんのお客様にご来店いただき、
心より感謝申し上げます。

2026年アメリオレの目標は
「ここに来ると安心する」
「変化を実感できる」
そんなサロンであり続けていられるよう、お一人お一人のお客様に心を込めて施術させていただきます。

また新たに新コースも模索中ですので、お客様がより一層お悩みを改善しながら楽しんで、お通いいただけるサロンであれる様、精進して参りますので、乞うご期待🍀

本年もどうぞよろしくお願いいたします✨
皆さまにとって、笑顔あふれる一年になりますように。

#新年のご挨拶
#明けましておめでとうございます
#2026年
#本年もよろしくお願いいたします
#エステサロン",0,https://www.instagram.com/p/DS-ZCKBj0yn/
2022-04-03T12:14:55.000Z,es.esthetiquesalon,146,"新メニュー！【全身KAIZEN美人】

・タイ古式ストレッチ
→現在、脚ヒップマッサージはタイ古式ではなく美容整体に変わっております！
・猫背改善
・腸セラピー
・小顔フェイシャル
・ヘッドマッサージ

の5つで全身スッキリ！

120分で9,800円です✨

ご予約はこちら▷ @es.esthetiquesalon 
お待ちしております🌸🤍

#全身ほぐし #整体 #全身矯正 #マッサージ #リンパマッサージ #ほぐし #全身マッサージ #全身マッサージ120分コース #腸もみ #猫背矯正 #小顔マッサージ #小顔 #小顔矯正 #食いしばり #ヘッドマッサージ #腸内環境 #タイ古式マッサージ #タイ古式 #タイ古式ストレッチ #猫背 #猫背改善 #姿勢改善 #骨盤矯正 #肩甲骨はがし #新横浜 #大倉山 #綱島 #菊名 #妙蓮寺 #武蔵小杉",2,https://www.instagram.com/p/Cb42wzPJ7C6/
2024-05-16T04:07:48.000Z,es.esthetiquesalon,-1,"韓国式3D毛穴洗浄についてDMでよく頂く質問をまとめました🇰🇷👃🏻

今までお断りさせていただいたお客様は1名様のみ(小鼻が乾燥によるひび割れ・あかぎれをされていた方)で、
他のフェイシャルエステ同様、基本的に皆様に受けていただける施術です。

ただ遠方からご来店下さるお客様も多いので禁忌事項も書いております🙂‍↕️

全顔を施術しますが「この部分の施術は避けて欲しい」などのご要望も可能な限り承っております。

その他のご質問はコメント、DM、LINEチャットにて受け付けております🌼",0,https://www.instagram.com/p/C7A-85QPd_7/
